重複	親字	旧字	本字	古字	別体	俗字	誤字
	⾆		𠯑				
	㐬			𡿮			廼
	㚆		𡕨		复		
	㝵		䙷				卭
	㵎				礀	澗	
	㷠					粦	
	㹜				犾		
	㿉				㿗		
	䀠				眗		
	䊊				䅏		
	䗪		𧐚				𨯯
	䧢					𨸟	
	䪡				齏𧆌	虀韲	
	䬒				颼		
	一			弌			
!	万	萬					
	丈					𠀋	
	三			弎			
	与	與					
	丑					丒	
	世			丗		卋	
	丘				㐀坵		
	丞					氶	
	両	兩			㒳		
	並	竝			並		
	丱		卝				
	丸		𠁽				
	久				镹	乆	
	乗	乘					
	乱	亂					
	乾					乹	
	亀	龜	龜				
!	予	豫					
	争	爭					
	事			㕝叓		亊	
	二			弍			
	于		亏		亐		
	亜	亞					
	亟				焏		
	亡		兦				亾
	亨			亯			
	京					亰	
	亭					𠅘	
	亮					𠅙	
	今					𫝆	
	仏	佛					
	仞					仭	
	仡		㐹				
	以			㠯			
	仮	假					
	会	會				㑹	
	伝	傳					
	似			佀			
	佇				竚		
!	体	體				躰軆	
!	余	餘					
	佞						侫
	佩					𬽳	
	併	倂					
	佸		𠈲				
	使			𠉕			
	侃			𠈉	偘		
	価	價					
	侮	侮					
	侯			𥎦	矦		
	便		𠊳				
	俎					爼	
	俐				悧		
	俠					侠	
	俣					㑨	
	俱					倶	
	倅					伜	
	倆					𠈓	
	倍			俖			
	倏					倐	
	候				𠊱		
	倚					𠋣	
	倹	儉					
	健					徤	
	偸					偷	
	偽	僞					
	傑					杰	
	傘				𠍘	仐	
	備		僃			偹	
	傚					俲	
	傯				偬	倊	
	傲				慠		
	傴				𤹪		
	僂					偻	
	僉					㑒	
	僊				僲		
	像					像	
	僕			䑑	㒒		
	僧	僧					
	僩					僴	
	僭						僣
	儁				㒞		
	儐				𭀀		
	儔			𠍻		俦	
	儕					㑪	
	儘					侭	
	儚				𠐧		
	儞					你	
	儻					傥	
	儼					𠑊	
	允			㽙			
	充		充				
	兆				𠧞		
	光		灮	炗			
	兌					兊	
	免	免					
	児	兒		𠒆			
	兕		𧰽			𤉡	
	兗					兖	
!	党	黨					
	兜					兠	
	全			㒰			
	兪					俞	
	兮					𠔃	
	其			丌	亓		
	兼					𠔥	
	冀		冀		兾		
	冂			冋			
	内	內					
	円	圓				圎	
	冉		冄				
	冊		𠕋	笧	册𠕁		
	再		再				
	冎				叧		
	冒					冐	
	冔				𦀒		
	冗		宂			冗	
	写	寫			冩	𭂁	
	冢		𠣥				
	冤					寃	
	冤					寃寃	
	冥					㝠	
	冪		幂		羃		
	冬	冬					
	冱					𠖱	
	凜				澟𠘡	凛	
	凡					凢	
	処	處				䖏	
	凭					凴	
	凶				𣧑		
	出						岀
	函		圅			凾	
	刀		𠚣		釖		
	刃					刄	
	切						切
	刈			𠛄		苅	
	刑		𠛬		㓝		
	刓				㝴		
	別		𠛰				
	利			𥝤			
	刪				删𠜂		
	刮		𠜜				
	刱					剏剙	
	刲				𠝥		
	刹		㓼		剎		
	剃		鬀				
	則			𠟭			
	剋		勀		勊	尅	
	前		𣦃	歬		偂	
	剔			𠜓			
	剚				倳	𨧫	
	剛					㓻	
	剜				𠛠		
	剝					剥	
	剣	劍		劒	釼𠝏	剱劔	
	剤	劑					
	剰	剩					
	割	割					
	創		刅	戧	𠟐		
	劂		𠜾				
	劃				劐		
	劇		勮				
	劓				㓷		
	功					㓛	
	劫					刦刧	
	励	勵					
	労	勞					
	効	效					
	勁					𠡍	
	勅	敕					
	勇	勇		恿	勈		
	勉	勉					
	勖					勗	
	勢					㔟	
	勤	勤					
	勧	勸					
	勲	勳		勛			
	勻					匀	
	匃				匄		
	匆		囪		匇匆		
	匏				瓟		
	匯					滙	
	匳		籢			匲奩	
	区	區					
	医	醫			毉		
	卅		𠦃				
	卉		芔		卉		
	卑	卑				𤰞	
	卒		䘚			卆	
	卓				桌		
	協			叶	恊旪		
	単	單					
	博					愽	
	卟				乩		
	卣			𠧪			
	卮					巵	
	卯		戼			夘	
	即	卽					
	却		卻				㕁
	卸						缷
	卿				卿		
	厄						𢀴
	厖				庬		
	厚			㫗			
	原		厡				
	厭				猒		
	厲					厉	
	厳	嚴					
	去		厺				
	参	參				叅	
	双	雙					
	収	收					
	叔					𠦑	
	叙	敍			敘		
	叟		叜				
	叡			睿			
	叢					樷藂	
	叫						呌
!	台	臺				䑓	
	史		㕜				
	号	號				𭈹	
	吃		𠯏				
	吉					𠮷	
	同					仝	
	吝					㖁	
	吞						呑
	吟				訡		
	吹				龡		
	吻				䐇	脗	
	呉	吳				吴	
	告	吿					
	周	周					
	呪					咒	
	呴		欨				
	和		咊	龢			
	咢		㖾				
	咤		吒			咜	
	員					貟	
	哲				喆嚞悊	啠	
	唇		脣				
	唼				啑		
	啀				嘊		
	啎					牾	
	啓					啔	
	啖				啗嚪		㗖
	啞				瘂	唖	㗖
	喀				衉		
	喃				諵		
	善		譱				
	喉				㗋		
	喜			歖	憘憙		
	喝	喝				𡀽	
	喩					喻	
	喪		𠷔			䘮	
	営	營				营	
	嗅		齅				
	嗥					嘷	
	嗷				嗸		
	嘆	嘆					
	嘑				謼		
	嘔					呕	
	嘗				甞	𠹉	
	嘯					嘨	
	嘱	囑					
	嘵				譊		
	噓					嘘	
	器	器				噐	
	噴	噴					
	嚔					嚏	
	嚙					噛	
	囂				嚻		
	囊					嚢	
	回			囘		囬	
	囟			顖			
	因					囙	
	団	團					
	囧					冏	
	囲	圍					
	図	圖				圗	
	国	國		囶	圀	囯	
	圏	圈					
	園				薗		
	土					圡𡈽	
	圧	壓				压	
	圬				杇		
	圭				珪		
	址		阯				
	坌				坋		
	坎				埳		
	坏				阫	坯	
	坐					㘴	
	坑		阬				
	坼		𡍩				
	垂					埀	
	垓				畡		
	垜				垛𭩥		
	垝				陒		
	垠		𡋳				
	埋		薶				
	城	城					
	埒					埓	
	埠					埗	
	埣					𡉻	
	埤				壀		
	埼					𫮍	
	堆		𠂤				
	堇		𡏳			𦰌	
	堕	墮	隓		𡐦	墯	
	堡				堢		
	堤				䧑隄	埞	
	堯					尭	
	堰		隁				
	場					塲	
	塀	塀					
	塁	壘			畾		
	塊				墤		
	塚	塚					
	塡					填	
	塩	鹽				𦣪	
	塹				壍𡐛		
	墁				㙢		
	墍				𡏲		
	増	增					
	墨	墨					
	墩				墪		
	墳	墳					
	壅				㙲		
	壊	壞					
	壌	壤					
	壎				塤		
	壑		㕡				
	壗					𡋤	
	壚					𡉴	
	壜				罎		
	壟				壠		
	壮	壯					
	声	聲					
	壱	壹					
	売	賣					
	壺				壷		
	変	變	𣀵				
	多					夛	
	夢		㝱			夣梦	
	奇					竒	
	奈		柰			㮈	
	契	契					
	奔	奔	𢍃				
	奘					弉	
	奥	奧					
	奨	奬		獎	㢡		
	奶				嬭		
	奼				姹		
	妊				姙		
	妖		𡝩				
	妙				玅		
	妝				娤𡝂		
	妬				妒		
	姉		姊				
	姍				姗		
	姦				姧		
	姪					侄	
	姫	姬					
	姮					嫦	
	姸					妍	
	姻				婣		
	娟					姢	
	娯	娛					
	婀		妸		娿		
	婁					娄𡝤	
	婆		媻				
	婚					㛰	
	婦					媍	
	婿				壻	聟	
	媠		嫷				
	媵				𠊶		
	媼					媪	
	嫂		㛮			㛐	
	嫉		㑵				
	嫩		媆			嫰	
	嫫		𡠜				
	嫵				娬		
	嫺				嫻	𡢃	
	嬉				娭		
	嬢	孃					
	嬲				嫐		
	嬾					嬾	
	子			㜽			
	学	學	斅			斈𫝯	
	孶					孳	
	孺					𡦘	
	孼					孽	
	宅			㡯			
	宇			㝢		𡧃	
	守				垨		
	宜		宐		冝		
	宝	寶				寳	
	実	實					
	宿		㝛				
	寇					冦𡨥	
	富					冨	
	寓				庽		
	寛	寬					
	寝	寢					
	寠				窶		
	寧	寧	寍		甯		寗𫝱
	審		宷				
	寱				䆿		
	対	對				对	
	寿	壽	𦓆			夀	
	専	專					
	将	將					
	尋					𡬶	
	尚	尙					
	尠		尟				
	尢				尣		寗𫝱
	尩			𡯪		尪尫	
	尸		𡰣				
	尻				㞍		
	尽	盡				𥁞	
	屁				𥧔		
	届	屆					
	屎				𡱁		
	屛					屏	
	属	屬					
	屟				屧		
	屢					屡	
	屣		蹝				
	層	層					
	屭					屓	
	岡				堽	崗	
	岩				嵒	嵓	
	岪				𡶒		
	岭				岺		
!	岳	嶽					
	岸				㟁𡶜		
	峡	峽					
	峨				峩		
	峭				陗		
	峰		峯				
	島		㠀		嶋嶌嶹隝隯	陦	
	崎		陭		㟢	嵜﨑	
	崑				崐		
	崖				崕		
	崙				崘		
	崚				𡹃		
	崛				崫		
	崢				崝		
	崿				㟧		
	嵆					嵇	
	嵌				篏		
	嵩				崧		
	嵬				㟴		
	嵯				嵳		
	嶄				嶃		
	嶢				嶤	𡸳	
	嶧					𡵸	
	嶬				㠖		
	嶮					𡸴	
	嶸				峵𡵓		
	巖				巗	巌	
	川		巛				
	巣	巢					
	左					㔫	
	巷				衖		
	巹		𧯷		卺𢀾		
	巻	卷					
	帀					匝迊	
	帆			𩗋	㠶䑺颿		
	希				𢁫		
	帑				伖		
	帕				絈		
	師					师	
	帯	帶					
	帰	歸		㱕		皈	
	帽					㡌	
	幄				𧛐		
	幔					㡢	
	幕				幙		
	幞				襆		
	幣				幤		
	幫					帮幇幚	
	幬				𢃖		
	幮				㡡		
	年		秊				
	幷					并	
	幸			𠂷			
	幹		榦				
	幺					么	
	幼				𢆲		
	庁	廳				廰	
	広	廣					
	座					𫝷	
	庶					庻	
	廁					厠	
	廃	廢					
	廈					厦	
	廉	廉					
	廊	廊					
	廏				廐	厩	
	廚				㕑	厨	
	廛					㙻鄽	
	廝					厮	
	廟			庿		庙	
	廠					厰	
	廨					𪠘	
	廩		㐭			廪	
	廻				𢌞	廽	
	廿					卄	
!	弁	瓣辨辯	辧				
	弄					挊挵	
	弇				揜		
	弊		獘				
	弐	貳				貮	
	弑		弒				
	弛				㢮		
	弥	彌	㣆				
	弭				𢏱		
	弱		𢐅				
	強				强		
	弼		𢐀		弻𢐡		
	弾	彈					
	彅					𦿶	
	彍		彉				
	彎					弯	
	彑				彐		
	当	當					
	彔					录	
	彙		𢑷		彚		
	彝					彜	
	形		形	𢒈			
	彥					彦	
	彫	彫					
	彴				仢		
	往		𢔎			徃	
	征				𨒌		
	徂				䢐		
	径	徑			逕	迳	
	徇		𢓈		侚	狥	
	很				佷		
	徒		𨑒				
	従	從	从				
	得		𢔶				
	徙		𨑭				
	御			𢕜			𢀴
	徨				偟		
	徭		㑾		傜		
	微					㣲	
	徯				蹊		
	徳	德		悳	𢛳		
	徴	徵					
	忘			㤀			
	応	應					
	忝			㤁			
	忞				忟		
	忽				𢗘		
	怕				𢗌		
	怖			悑			
	怗			㤐			
	怙				𢛅		
	思		恖				
	急		㤂				
	怪					恠	
	恋	戀					
	恐					𢙢	
	恒	恆					
	恚				㤬	㜇	
	恝				𢗊		
	恟				忷		
	恣				𢙊		
	恤				卹		䘏
	恥					耻	
	恨		𢚉				
	恪		愙		㤩		
	恭		𢙄				
	恵	惠				僡	
	悄					𢖹	
	悋					恡	
	悔	悔					
	悖				誖		䘏
	悟			忢			
	悤					忩怱	
	悦	悅				恱	
	悩	惱				𢚰	
	悪	惡					
	悱				㥱		
	悴					忰	
	悶				㥃		
	悸				𢜽		
	悽					恓	
	惇					惇	
	惏				婪	啉	
	惕				悐		
	惛					惽	
	惝				𢠵		
	惨	慘					
	惰		憜				
	惸		𢞛				
	惺				𢜫		
	愆			諐			
	愒				𢢚		
	愛		𢜤				
	愜		㥦				
	愧		媿				
	愨					慤	
	慈	慈				㤵	
	慌		㤺				
	慍					愠	
	慎	愼		眘			
	慙				慚		
	慢					𢢔	
	慨	慨					
	慷		忼				
	慸				㦅		
	慼				慽		
	憁					愡	
	憂		𢝊		懮		
	憊		𢟡				
	憎	憎					
	憑					慿	
	憖					憗	
	憚					惮	
	憝				憞		
	憤	憤					
	憩				𢠾	憇	
	憪				𢡿		
	憫				𢡻		
	憯					㦧	
	憲	憲		𡩜			
	懇		𢡆				
	懈				𢢣		
	懊					㤇	
	懍					懔	
	懐	懷					
	懕				㦔		
	懜				懵		
	懣					𢡛	
	懦				愞懧		
	懲	懲					
	懶					懶	
	懺					懴	
	懼			愳			
	懿		㦤				
	戄				㦜		
	戇				𢦅	戅	
	戎		𢦦				
	成	成					
	或					㦯	
	戛					戞	
	戟		𢧢				
	戦	戰					
	截		𢧵				
	戮				僇		
	戯	戲				戱	
	戴	戴					
	戸	戶				户	
	戻	戾					
	払	拂					
	扞				捍		
	批		𢱧				
	扼				㧖		
	折		㪿				
	抜	拔				㧞	
	択	擇					
	抽		㩅		𢭆		
!	担	擔					
	拇				胟		
	拋					抛	
	拍		𢫦				
	拏				挐	拿	
	拕				扡拖		
	拘					抅	
	拝	拜	𢷎				
	拠	據				㩀	
	拡	擴			㨯		
	拯		抍				
	拳				𢮙		
	指			𢫾			
	挙	擧				舉	𦦙
	挟	挾					
	挲				挱		
	挼				捼		
	挿	插				揷	
	捃				攈		
	捊				抙		
	捏						揑
	捐					捐	
	捜	搜	𢯱				
	捥				𢪸		
	掃				埽		
	掎					𢰤	
	掔					孯	
	掲	揭					
	掽					碰	
	揄				𢶖		
	揲				𢶅		
	揶				捓		
	揺	搖					
	搉				攉		
	搒		𢮔				
	搔					掻	
	搢					搢	
	搭					撘	
	搴				攐		
	携		攜			㩗擕	
	摂	攝					
	摑					掴	
	摸		摹				
	摻					撡	
	撃	擊					
	撇		撆				
	撈					𢭐	
	撐					撑	
	播				𢿥		
	撼		㨔				
	撽		𢵿				
	撿					𢮦	
	擁		𢹬				
	擂		攂				
	擎				㢣擏		
	擒		捦		㩒		
	擡					抬	
	擣					𢭏	
	擥				㩜攬		
	擪				擫		
	攢					攅	
	攪				捁	撹	
	攫					爴	
	攲				㩻		
	敏	敏					
	教	敎					
	敢		𠭖				
	散		𢿨				
	敦				㪟		
	数	數				𢿙	
	敲			䯨	㪣搞		
	整				𢿫		
	敵				𪯙		
	敷		𢾭	旉			
	斉	齊		亝			斊
	斎	齋				斋	
	斑		辬				
	斟					酙	
	斥		㡿				
	斧				𨨞		
	断	斷	𣃔				
	斲				𠠇	斵	
	於					扵	
	旁		㫄				
	旃				旜	𣃼	
	旅	旅					
	旆					斾	
	旛					旙	
	既	既			旣		
	旧	舊				𦾔	
	旨		𠤔			㫖	
	昂					昻	
	昃		𣅦				
	昇				曻		
	明			朙	眀		
	昏					昬	
	昜				暘		
	昞				昺		
	星		曐	皨			
	映					暎	
	春			旾萅			
	昭				炤		
	是		昰				
	昴		𣆻				
	昵		暱			眤	
	昼	晝					
	時			旹		时	
	晃				晄		
	晉		㬜			晋	
	晟				晠		
	晢				晣		
	晨		曟				
	晩	晚			𣆶		
	普		暜				
	晳				晰		
	晴	晴			暒	甠	
	晶				𣇵		
	暁	曉					
	暄				煊		
	暑	暑					
	暖				㬉		
	暢		畼				
	暦	曆					
	暳				㬩		
	暴		㬥				
	曄				曅		
	曠					昿	
	曦					㬢	
	曬					晒	
	曳				拽		捙曵
	更		㪅				
	曹		𣍘		曺		
	曼					㬅	
	曽	曾					
	替				㬱		捙曵
	最				㝡冣		
	朏			𣍧			
	朕		𦨶				
	朗	朗	朖				
	望		朢				
	朝		𦩻				
	期				朞		
	本					夲	
	朶		朵		䒳		
	朽				𣏓		
	杆					桿	
	村		邨				
	杓						𣏐
	条	條					
	来	來		徠		耒	
	杮		𣏕				
	杯		桮			㮎盃	
	松			梥𰗷	㮤枀枩柗		
	枕					𣏝	
	枡				桝		
	枢	樞					
	枴		柺				
	枻				栧		
	柄				棅		
	柏				栢		
	柟		枏				
	柩		匛				
	柳		桺			栁	
	柵				栅		
	査						查
	柿		柹				
	栃				杤𣜜		
	栄	榮				荣	
	栐				柡		
	栗			㮚			
	校				挍		
	栴				㮵		
	案				桉		
	桑					桒桒	
	桔				㮮		
	桜	櫻					
	桟	棧					
	桫				桬		
	梁					樑	
	梅	梅		坆	楳槑		
	梓			杍	榟		
	梔				栀桅		
	梨		棃				
	梱				棞		
	棄			弃			
	棋		棊				
	棕		椶				
	棲					栖	
	椁				槨		
	植				㯰		
	検	檢					
	椰				㭨		
	楫				檝		
	楮				柠		
	極						𣑕
	楼	樓					
	楽	樂					
	楾				𤭯		
	概	槪	槩				
	榴		橊				
	榼					𣖁	
	槁		槀				
	槃				柈		
	槇					槙	
	槊				㮶		
	槓				杠		
	槔				槹		
	様	樣					
	槳				㯍		
	槵					梙	
	槶					椢	
	樊			棥			
	樒				榓	櫁	
	模				糢		
	権	權					
	横	橫					
	樸					檏	
	樹					𣗳	
	樽		罇		墫𤮐		
	橈					𣓤	
	橋					槗𣘺	
	橌					橺	
	橐					槖	
	橕				樘		
	橛				橜		
	橢					楕	
	檃				櫽		
	檐				簷	櫩	
	檔					档	
	檗				檘	蘗	
	檜					桧	
	檣				艢	樯	
	檮					梼	
	檳					梹	
	檿				𣝓		
	櫟					檪	
	櫨					枦	
	櫱				𣡌	蘖	
	櫳				㰍	槞	
	櫺					欞	
	欄	欄					
	欅					﨔	
	欒					圝栾	
	欖					㰖	
	欛					𣠽	
	欟					𣠤	
!	欠	缺			𡙇	缼	
	欧	歐					
	欻				歘		
	款		㱁			欵	
	欿				𣣻		
	歌				謌		
	歓	歡					
	歔					歔	
	歩	步					
	歯	齒					
	歳	歲					
	歴	歷					
	歹		𣦵		歺		
	歿				歾	殁	
	殂			𣧫			
	残	殘					
	殲					殱	
	殴	毆					
	殺	殺				煞	
	殻	殼	㱿			壳	
	殿		𣪍				
	毀					毁	
	毎	每					
	毘		𣬈			毗	
	毟				挘毮		
	氅				𪅶		
	氈					毡氊	
	気	氣			炁		
	氛				𣱦		
	氷		冰				
	汚		污		汙		
	汰		汏				
	汴		汳				
	決					决	
	沃		𣵽				
	沄				澐		
	沈					沉	
	沖					冲	
	没	沒					
	沢	澤					
	沬			湏			
	沱				沲	𣵺	
	沴					𣳅	
	沿					㳂	
	況					况	况
	泄					𣳘	
	泉			洤	湶		
	法		灋		㳒		
	泥				埿		
	泮				頖		
	泰			夳		㤗冭𣳾	
	洄				𭰁		
	津			𣸁			
	活			𣴠			
	流			㳅			
	浄	淨					
	浅	淺					
	浙				淛		
!	浜	濱				濵	
	浣				澣		
	海	海					
	浸		濅	寖		𣹦	
	浹					浃	
	涂					凃	
	涅					𣵀	
	涓					㳙	
	涖				莅蒞		
	涙	淚			泪		
	涵		𣹢				
	涼					凉	
	淬					㳃	
	深			㴱			
	淳					湻	
	淵			𣶒		渊渕	
	添				𣷹	沗	
	清	淸					
	渇	渴					
	済	濟					
	渉	涉					
	渋	澁	澀				
	渓	溪					
	減					减	
	温	溫					
	游					㳺	
	湧		涌				
	湾	灣					
	湿	濕	溼				
	満	滿					
	準					凖	
	溜		澑				
	溲		𣸈				
	溿				沜		
	滂				霶		
	滋	滋		𦱳			
	滎				濚		
	滔					㴞	
	滝	瀧					
	滞	滯					
	滲					涁渗	
	滾					滚	
	漆			桼	㯃	柒	
	漏		屚				
	漕		𤅍				
	漢	漢					
	漬			洓			
	漾			瀁			
	潑					溌	
	潔				洯	㓗	
	潜	潛				濳	
	潟					泻	
	潠				噀		
	潨		潀		灇		
	潮	潮	𣶃				
	潸					澘	
	澄		瀓		澂		
	濁					浊	
	濤					涛	
	濬		𣽊				
	濾					沪	
	瀆					涜	
	瀞					瀞	
	瀦					潴	
	瀬	瀨					
	瀰					㳽	
	灌					潅	
	灑					𤂢	
	灕				漓		
	灝					𤂖	
	灞				㶚		
	灩		𤅿			灎灔灧	
!	灯	燈					
	灰		𤆆				
	灺				炧		
	災		烖	災	灾		
	炉	爐					
	炘				焮		
	炭	炭					
	炯					烱	
	炱				炲		
	点	點					
	為	爲					
	烽		㷭		熢		
	焚		燓				
	焦		𤓪				
	焰		燄	熖		㷔焔	
	焼	燒					
	煕			焈	凞熈凞	熙	𤋮
	煖				煗		
	煙				烟	𤇆	𤋮
	煢				㷀	焭	
	煮	煮	䰞		煑		
	熅					煴	
	熏					燻	
	熱					热	
	熹				熺		
	燁				爗		
	燎		𤊽			尞	
	燗					𤏐	
	燮					爕	
	燼		㶳			烬	
	爇				焫		
	爛		爤				
	爵		𩰦		𣝣		
	爺			𤕓			
	爾				尒	尓尔	
	牆					墻	
	牖				牗		
	牢				窂		
	犀					𡱝	
	犂					犁	
	犠	犧					
	犢					㸿	
	状	狀					
	狉		豾				
	狖				㹨		
	狗				㺃		
	独	獨					
	狭	狹					
	狸		貍				
	狻				䝜		
	猊				貎		
	猗				䝝		
	猛					勐	
	猟	獵				𤢪	
	猢		𪕮				
	猩				狌		
	猫		貓				
	献	獻					
	猴		㺅				
	猶					犹	
	猿		猨			𫞤	
	獄			𡈭			
	獠				䝤		
	獣	獸					
	獫				玁		
	獮		𤣐				
	獺				㺚		
	玃				貜𤣓		
	玞				砆		
	珉				玟	䃉瑉	
	珍					珎	
	珏		玨				
	班		𤤻				
	琅					瑯	
	琉		𤥗				
	琴		珡			琹	
	琺					珐	
	瑇					玳	
	瑠				璢		
	瑣					𤨏	
	瑤					瑶	
	瑰				瓌		
	璃				瓈		
	璽				壐	玺	
	瓊				琁		
